Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
04/08/2021,51053,Dinwiddie,Crater,Hospitals,Moderna,1,100
04/22/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,2,300
03/16/2021,51740,Portsmouth,Portsmouth,Other Community Health Providers,Pfizer,1,4680
03/18/2021,51680,Lynchburg,Central Virginia,Pharmacies,Moderna,2,100
04/18/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,2300
04/01/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,2,100
03/04/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,700
03/12/2021,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,1,1170
02/12/2021,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,975
02/13/2021,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,1,1950
04/29/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,1,200
04/18/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,3200
02/28/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,1,1200
03/11/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,2,500
02/28/2021,51125,Nelson,Blue Ridge,Medical Practices,Moderna,1,300
02/28/2021,51019,Bedford,Central Virginia,Pharmacies,Moderna,1,400
01/18/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,1,3000
03/28/2021,51141,Patrick,West Piedmont,Local Health Departments,Moderna,1,200
04/01/2021,51135,Nottoway,Piedmont,Medical Practices,Moderna,2,200
03/24/2021,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,3000
12/22/2020,51121,Montgomery,New River,Hospitals,Moderna,1,2000
02/28/2021,51013,Arlington,Arlington,Local Health Departments,Moderna,1,2000
03/27/2021,51083,Halifax,Southside,Hospitals,Pfizer,2,1170
04/16/2021,51153,Prince William,Prince William,Other Community Health Providers,Pfizer,2,17550
01/03/2021,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,1,500
02/08/2021,51093,Isle of Wight,Western Tidewater,Medical Practices,Moderna,1,300
03/01/2021,51840,Winchester,Lord Fairfax,Local Health Departments,J&J,1,9000
02/07/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,2,800
04/29/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,1,1000
04/18/2021,51021,Bland,Mount Rogers,Medical Practices,Moderna,1,100
04/11/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,2,300
04/24/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Pfizer,1,8190
02/07/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,2,500
04/23/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,2340
02/28/2021,51730,Petersburg,Crater,Hospitals,Moderna,1,200
03/04/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,2,100
03/12/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,1170
02/22/2021,51590,Danville,Pittsylvania-Danville,Pharmacies,Moderna,1,100
04/16/2021,51019,Bedford,Central Virginia,Medical Practices,Pfizer,1,1170
04/24/2021,51153,Prince William,Prince William,Other Community Health Providers,Pfizer,2,16380
04/29/2021,51095,James City,Peninsula,Other Community Health Providers,J&J,1,100
03/16/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,1,2000
04/25/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,1,900
01/23/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,1,1950
02/28/2021,51085,Hanover,Chickahominy,Hospitals,Moderna,1,200
04/24/2021,51740,Portsmouth,Portsmouth,Other Community Health Providers,Pfizer,1,1170
03/25/2021,51087,Henrico,Henrico,Other Community Health Providers,Moderna,2,800
03/14/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,1200
03/20/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Pfizer,1,2340
04/22/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,2,100
02/28/2021,51063,Floyd,New River,Pharmacies,Moderna,1,100
01/11/2021,51165,Rockingham,Central Shenandoah,Hospitals,Moderna,2,2000
04/03/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Pfizer,2,9360
04/29/2021,51540,Charlottesville,Blue Ridge,Medical Practices,Moderna,2,100
04/23/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,2,2340
02/25/2021,51105,Lee,Lenowisco,Local Health Departments,Moderna,2,100
03/22/2021,51101,King William,Three Rivers,Medical Practices,Moderna,1,100
12/20/2020,51720,Norton,Lenowisco,Hospitals,Moderna,1,1000
02/03/2021,51125,Nelson,Blue Ridge,Medical Practices,Moderna,1,200
01/10/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,400
02/21/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,1,500
01/23/2021,51683,Manassas City,Prince William,Hospitals,Pfizer,1,975
04/22/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,2,200
12/28/2020,51590,Danville,Pittsylvania-Danville,Hospitals,Moderna,1,2000
04/15/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,2,100
03/18/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,2,200
04/11/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,1,300
03/07/2021,51153,Prince William,Prince William,Medical Practices,Moderna,1,200
03/29/2021,51121,Montgomery,New River,Local Health Departments,J&J,1,2000
03/08/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,1,900
03/22/2021,51590,Danville,Pittsylvania-Danville,Medical Practices,Moderna,1,100
02/28/2021,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,1,1200
03/18/2021,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,2,200
02/20/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,1100
03/18/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,2,200
03/18/2021,51067,Franklin County,West Piedmont,Medical Practices,Moderna,2,200
02/21/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,2,1300
03/01/2021,51580,Covington,Alleghany,Local Health Departments,Moderna,2,200
03/01/2021,51770,Roanoke City,Roanoke,Local Health Departments,J&J,1,8000
03/14/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,1,400
03/01/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Pfizer,1,2340
03/04/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,2,200
04/15/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,2,200
01/18/2021,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,1,300
04/01/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,2,500
04/15/2021,51087,Henrico,Henrico,Other Community Health Providers,Moderna,2,900
03/25/2021,51061,Fauquier,Rappahannock Rapidan,Pharmacies,Moderna,2,100
03/07/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,1,500
02/28/2021,51103,Lancaster,Three Rivers,Hospitals,Moderna,1,200
03/04/2021,51145,Powhatan,Chesterfield,Pharmacies,Moderna,2,100
02/04/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,600
02/07/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,1,900
04/15/2021,51790,Staunton,Central Shenandoah,Other Community Health Providers,Moderna,1,100
02/20/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,1,100
04/11/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,2,200
01/24/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,800
02/24/2021,51191,Washington,Mount Rogers,Pharmacies,Moderna,1,100
01/18/2021,51770,Roanoke City,Roanoke,Hospitals,Pfizer,1,2925
04/17/2021,51059,Fairfax,Fairfax,Other Community Health Providers,Pfizer,1,18720
04/10/2021,51650,Hampton,Hampton,Other Community Health Providers,Pfizer,1,2340
12/28/2020,51117,Mecklenburg,Southside,Local Health Departments,Moderna,1,300
01/30/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,975
03/14/2021,51191,Washington,Mount Rogers,Pharmacies,Moderna,1,700
02/20/2021,51770,Roanoke City,Roanoke,Hospitals,Pfizer,1,1170
03/04/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,2,200
03/01/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,1,300
02/25/2021,51143,Pittsylvania,Pittsylvania-Danville,Other Community Health Providers,Moderna,2,100
03/14/2021,51031,Campbell,Central Virginia,Pharmacies,Moderna,1,200
04/01/2021,51053,Dinwiddie,Crater,Medical Practices,Moderna,1,100
04/01/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,2,200
02/20/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,2,700
04/11/2021,51101,King William,Three Rivers,Medical Practices,Moderna,1,100
03/11/2021,51660,Harrisonburg,Central Shenandoah,Local Health Departments,Moderna,2,200
04/08/2021,51660,Harrisonburg,Central Shenandoah,Local Health Departments,Moderna,2,200
02/04/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,2,200
02/24/2021,51153,Prince William,Prince William,Other Community Health Providers,Moderna,1,400
02/01/2021,51095,James City,Peninsula,Pharmacies,Moderna,1,100
04/01/2021,51570,Colonial Heights,Chesterfield,Medical Practices,Moderna,2,100
03/22/2021,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,1,2000
04/05/2021,51103,Lancaster,Three Rivers,Hospitals,Moderna,2,300
03/22/2021,51660,Harrisonburg,Central Shenandoah,Local Health Departments,Moderna,1,200
03/20/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,2,5850
03/06/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,2,1170
03/15/2021,51087,Henrico,Henrico,Medical Practices,Moderna,1,100
02/07/2021,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,1,100
04/15/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,2200
02/04/2021,51191,Washington,Mount Rogers,Other Community Health Providers,Moderna,2,100
04/11/2021,51011,Appomattox,Central Virginia,Pharmacies,Moderna,2,100
02/28/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,1,200
02/21/2021,51153,Prince William,Prince William,Pharmacies,Moderna,1,300
03/15/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,1,300
02/24/2021,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,1,100
03/27/2021,51510,Alexandria,Alexandria,Medical Practices,Pfizer,1,8190
03/28/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,1,200
02/07/2021,51660,Harrisonburg,Central Shenandoah,Local Health Departments,Moderna,1,200
03/04/2021,51079,Greene,Blue Ridge,Pharmacies,Moderna,2,100
04/15/2021,51107,Loudoun,Loudoun,Pharmacies,Moderna,2,500
03/11/2021,51093,Isle of Wight,Western Tidewater,Medical Practices,Moderna,2,100
01/11/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,2,100
04/16/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,2,1170
01/28/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,1000
04/01/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,2,400
02/24/2021,51760,Richmond City,Richmond,Medical Practices,Moderna,1,600
01/04/2021,51191,Washington,Mount Rogers,Hospitals,Pfizer,1,1950
02/25/2021,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,1,1170
02/28/2021,51191,Washington,Mount Rogers,Pharmacies,Moderna,1,100
12/22/2020,51153,Prince William,Prince William,Pharmacies,Moderna,1,500
02/01/2021,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,1,500
03/18/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,2,100
01/18/2021,51161,Roanoke County,Alleghany,Pharmacies,Moderna,1,100
04/29/2021,51013,Arlington,Arlington,Hospitals,Moderna,1,1000
02/14/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,1400
03/28/2021,51073,Gloucester,Three Rivers,Pharmacies,Moderna,1,100
01/30/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,1,1950
04/05/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,2,400
03/22/2021,51093,Isle of Wight,Western Tidewater,Pharmacies,Moderna,1,200
04/23/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,2,4680
03/07/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,400
04/25/2021,51590,Danville,Pittsylvania-Danville,Pharmacies,Moderna,1,200
04/22/2021,51089,Henry,West Piedmont,Pharmacies,Moderna,2,100
01/20/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,2,100
03/08/2021,51185,Tazewell,Cumberland Plateau,Pharmacies,Moderna,1,100
02/22/2021,51840,Winchester,Lord Fairfax,Hospitals,Moderna,2,4400
02/25/2021,51067,Franklin County,West Piedmont,Local Health Departments,Moderna,2,100
03/18/2021,51197,Wythe,Mount Rogers,Pharmacies,Moderna,2,100
02/07/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,1,100
04/15/2021,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,2,300
03/08/2021,51085,Hanover,Chickahominy,Pharmacies,Moderna,1,400
02/04/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,2,1400
02/20/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,1,400
04/05/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,500
03/22/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,1,100
03/30/2021,51730,Petersburg,Crater,Local Health Departments,Moderna,1,2100
12/22/2020,51195,Wise,Lenowisco,Hospitals,Moderna,1,1000
03/08/2021,51043,Clarke,Lord Fairfax,Pharmacies,Moderna,1,100
02/25/2021,51065,Fluvanna,Blue Ridge,Other Community Health Providers,Moderna,2,400
03/04/2021,51183,Sussex,Crater,Other Community Health Providers,Moderna,2,600
02/20/2021,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,1,1170
12/30/2020,51191,Washington,Mount Rogers,Hospitals,Pfizer,2,975
02/01/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,1,100
03/16/2021,51193,Westmoreland,Three Rivers,Other Community Health Providers,Moderna,1,100
01/11/2021,51167,Russell,Cumberland Plateau,Hospitals,Moderna,2,500
02/24/2021,51650,Hampton,Hampton,Medical Practices,Moderna,1,100
02/07/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,1,100
04/01/2021,51087,Henrico,Henrico,Medical Practices,Moderna,2,1700
03/27/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,2,1170
02/28/2021,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,1000
02/07/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,1,400
02/28/2021,51085,Hanover,Chickahominy,Pharmacies,Moderna,1,100
04/11/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,2,200
04/01/2021,51177,Spotsylvania,Rappahannock,Pharmacies,Moderna,1,100
01/28/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,800
01/11/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,200
01/04/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,1,975
03/14/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,1,700
03/21/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,1,100
04/29/2021,51690,Martinsville,West Piedmont,Medical Practices,Moderna,2,100
03/11/2021,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,2,300
04/05/2021,51117,Mecklenburg,Southside,Hospitals,Moderna,1,200
04/01/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,1,200
03/28/2021,51107,Loudoun,Loudoun,Medical Practices,Moderna,1,200
04/11/2021,51153,Prince William,Prince William,Medical Practices,Moderna,1,2100
04/01/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,300
01/18/2021,51840,Winchester,Lord Fairfax,Hospitals,Moderna,1,3000
02/28/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,2500
04/03/2021,51830,Williamsburg,Peninsula,Hospitals,Pfizer,2,2340
03/15/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,300
02/01/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,1,1000
02/26/2021,51800,Suffolk,Western Tidewater,Medical Practices,Pfizer,1,1170
04/09/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,2,1170
04/24/2021,51830,Williamsburg,Peninsula,Hospitals,Pfizer,1,1170
04/25/2021,51131,Northampton,Eastern Shore,Other Community Health Providers,Moderna,1,100
02/25/2021,51107,Loudoun,Loudoun,Pharmacies,Moderna,2,300
04/25/2021,51019,Bedford,Central Virginia,Pharmacies,Moderna,1,100
03/06/2021,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,2,1170
03/20/2021,51650,Hampton,Hampton,Other Community Health Providers,Pfizer,1,7020
03/07/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,2900
12/28/2020,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,600
02/06/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,2,2925
03/22/2021,51740,Portsmouth,Portsmouth,Pharmacies,Moderna,1,100
02/28/2021,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,1,400
03/28/2021,51540,Charlottesville,Blue Ridge,Pharmacies,Moderna,1,200
04/01/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,2,700
03/20/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,1170
04/16/2021,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,2,2340
02/13/2021,51710,Norfolk,Norfolk,Medical Practices,Pfizer,1,975
02/20/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,2,2000
02/08/2021,51089,Henry,West Piedmont,Pharmacies,Moderna,1,100
02/20/2021,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,2,400
03/04/2021,51081,Greensville,Crater,Other Community Health Providers,Moderna,2,100
02/07/2021,51083,Halifax,Southside,Other Community Health Providers,Moderna,1,100
04/08/2021,51640,Galax,Mount Rogers,Medical Practices,Moderna,2,100
02/01/2021,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,200
01/03/2021,51187,Warren,Lord Fairfax,Local Health Departments,Moderna,1,200
01/24/2021,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,1,1200
04/12/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,100
02/24/2021,51595,Emporia,Crater,Medical Practices,Moderna,1,100
04/29/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,100
04/08/2021,51117,Mecklenburg,Southside,Medical Practices,Moderna,2,200
02/08/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,1,200
02/28/2021,51117,Mecklenburg,Southside,Hospitals,Moderna,1,400
04/09/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,2340
02/28/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,1,1000
02/25/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,2,1500
04/08/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,2,1300
04/22/2021,51087,Henrico,Henrico,Hospitals,Moderna,2,100
02/07/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,200
04/01/2021,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,2,100
03/11/2021,51013,Arlington,Arlington,Local Health Departments,Moderna,2,1000
02/25/2021,51171,Shenandoah,Lord Fairfax,Pharmacies,Moderna,2,200
03/04/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,2,200
03/22/2021,51197,Wythe,Mount Rogers,Pharmacies,Moderna,1,100
03/13/2021,51760,Richmond City,Richmond,Pharmacies,Pfizer,2,4680
03/07/2021,51001,Accomack,Eastern Shore,Hospitals,Moderna,2,200
04/08/2021,51730,Petersburg,Crater,Medical Practices,Moderna,2,100
04/04/2021,51121,Montgomery,New River,Local Health Departments,J&J,1,4000
03/05/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,1,1170
04/11/2021,51580,Covington,Alleghany,Local Health Departments,Moderna,2,400
12/22/2020,51117,Mecklenburg,Southside,Hospitals,Moderna,1,1000
03/28/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,1,700
02/25/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,2,200
03/27/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,2,15210
03/21/2021,51595,Emporia,Crater,Medical Practices,Moderna,1,100
03/18/2021,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,2,400
03/21/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,1,300
03/18/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,1400
01/10/2021,51173,Smyth,Mount Rogers,Other Community Health Providers,Moderna,1,1200
04/25/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,1,100
04/01/2021,51173,Smyth,Mount Rogers,Pharmacies,Moderna,2,100
04/11/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,2,200
01/28/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,100
04/23/2021,51510,Alexandria,Alexandria,Medical Practices,Pfizer,2,9360
02/01/2021,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,900
04/15/2021,51067,Franklin County,West Piedmont,Local Health Departments,Moderna,1,100
04/22/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,2400
03/22/2021,51153,Prince William,Prince William,Medical Practices,Moderna,1,2300
03/25/2021,51840,Winchester,Lord Fairfax,Hospitals,Moderna,2,100
03/07/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,1,300
01/03/2021,51081,Greensville,Crater,Other Community Health Providers,Moderna,1,700
02/28/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,100
02/25/2021,51590,Danville,Pittsylvania-Danville,Medical Practices,Moderna,2,300
03/21/2021,51195,Wise,Lenowisco,Medical Practices,Moderna,1,200
02/02/2021,51760,Richmond City,Richmond,Local Health Departments,Moderna,1,1600
03/04/2021,51710,Norfolk,Norfolk,Hospitals,Moderna,2,800
03/04/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,2,300
04/15/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,2,200
04/25/2021,51073,Gloucester,Three Rivers,Medical Practices,Moderna,1,100
01/12/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,2,1950
03/05/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,1170
04/10/2021,51710,Norfolk,Norfolk,Other Community Health Providers,Pfizer,1,21060
03/28/2021,51153,Prince William,Prince William,Pharmacies,Moderna,1,900
04/29/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,2,500
03/21/2021,51003,Albemarle,Blue Ridge,Hospitals,Moderna,1,400
02/07/2021,51083,Halifax,Southside,Pharmacies,Moderna,1,300
03/21/2021,51095,James City,Peninsula,Pharmacies,Moderna,1,200
04/10/2021,51147,Prince Edward,Piedmont,Local Health Departments,Pfizer,1,1170
02/20/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,1,100
03/21/2021,51185,Tazewell,Cumberland Plateau,Pharmacies,Moderna,1,200
02/04/2021,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,2,1000
04/18/2021,51101,King William,Three Rivers,Medical Practices,Moderna,1,100
02/24/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,1,400
03/08/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,1,100
02/20/2021,51760,Richmond City,Richmond,Pharmacies,Pfizer,2,2340
04/03/2021,51630,Fredericksburg,Rappahannock,Medical Practices,Moderna,1,200
04/23/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,2,3510
02/08/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,500
02/07/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,1100
04/25/2021,51177,Spotsylvania,Rappahannock,Pharmacies,Moderna,1,100
02/07/2021,51730,Petersburg,Crater,Hospitals,Moderna,2,100
02/20/2021,51059,Fairfax,Fairfax,Medical Practices,Moderna,2,200
04/11/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,100
03/20/2021,51173,Smyth,Mount Rogers,Local Health Departments,Pfizer,1,1170
02/07/2021,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,1,100
03/14/2021,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,1,900
03/28/2021,51179,Stafford,Rappahannock,Medical Practices,Moderna,1,100
03/14/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,1,300
02/13/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,1950
02/07/2021,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,1,500
04/02/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,10530
02/07/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,1,300
02/21/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,2,1300
04/01/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,700
04/02/2021,51730,Petersburg,Crater,Local Health Departments,Pfizer,1,1170
02/28/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,1,400
02/04/2021,51169,Scott,Lenowisco,Pharmacies,Moderna,2,100
04/11/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,2,200
04/04/2021,51013,Arlington,Arlington,Local Health Departments,J&J,1,8400
04/15/2021,51083,Halifax,Southside,Pharmacies,Moderna,2,100
02/08/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,1,100
01/10/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,500
02/21/2021,51125,Nelson,Blue Ridge,Medical Practices,Moderna,1,200
04/29/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,2,600
02/01/2021,51011,Appomattox,Central Virginia,Pharmacies,Moderna,1,200
02/13/2021,51770,Roanoke City,Roanoke,Hospitals,Pfizer,1,975
03/27/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,7020
02/20/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,1,100
02/03/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,1,1000
03/18/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,300
02/22/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,1,500
03/11/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,2,200
01/10/2021,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,4600
04/29/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,3600
03/07/2021,51153,Prince William,Prince William,Pharmacies,Moderna,1,500
03/14/2021,51019,Bedford,Central Virginia,Medical Practices,Moderna,1,100
04/29/2021,51650,Hampton,Hampton,Other Community Health Providers,Moderna,2,1500
03/14/2021,51710,Norfolk,Norfolk,Hospitals,Moderna,1,200
04/29/2021,51830,Williamsburg,Peninsula,Medical Practices,Moderna,2,100
03/25/2021,51510,Alexandria,Alexandria,Pharmacies,J&J,1,300
03/28/2021,51600,Fairfax City,Fairfax,Pharmacies,Moderna,1,400
03/22/2021,51800,Suffolk,Western Tidewater,Pharmacies,Moderna,1,300
12/30/2020,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,7800
